id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
510,Moreira Valdez,Rubén Ignacio,Partido Revolucionario Institucional,v,18/04/1963,Asuntos Frontera Sur,Integrante
584,Herrera Vega,Geraldina Isabel,Movimiento Ciudadano,f,24/04/1963,"Ciencia, Tecnología e Innovación",Integrante
584,Herrera Vega,Geraldina Isabel,Movimiento Ciudadano,f,24/04/1963,Derechos Humanos,Integrante
401,Arenas Madrigal,Edgar Eduardo,Movimiento Regeneración Nacional,v,29/05/1963,Infraestructura,Integrante
401,Arenas Madrigal,Edgar Eduardo,Movimiento Regeneración Nacional,v,29/05/1963,Trabajo y Previsión Social,Integrante
470,Manzano Salazar,Javier,Movimiento Regeneración Nacional,v,05/06/1963,Asuntos Frontera Sur,Integrante
470,Manzano Salazar,Javier,Movimiento Regeneración Nacional,v,05/06/1963,Asuntos Migratorios,Integrante
514,Murguía Soto,Ulises,Movimiento Regeneración Nacional,v,09/07/1963,Defensa Nacional,Integrante
514,Murguía Soto,Ulises,Movimiento Regeneración Nacional,v,09/07/1963,Seguridad Social,Integrante
346,Chávez Pérez,María,Movimiento Regeneración Nacional,f,15/08/1963,Desarrollo Social,Integrante
346,Chávez Pérez,María,Movimiento Regeneración Nacional,f,15/08/1963,Educación,Integrante
257,Verástegui Ostos,Vicente Javier,Partido Acción Nacional,v,03/09/1963,Desarrollo Social,Integrante
257,Verástegui Ostos,Vicente Javier,Partido Acción Nacional,v,03/09/1963,Marina,Integrante
368,Exsome Zapata,Ricardo Francisco,Movimiento Regeneración Nacional,v,28/09/1963,Energía,Integrante
611,Guzmán Avilés,María del Rosario,Partido Acción Nacional,f,20/11/1963,Seguridad Pública,Integrante
599,Huerta Martínez,Manuel,Movimiento Regeneración Nacional,v,02/12/1963,Defensa Nacional,Integrante
599,Huerta Martínez,Manuel,Movimiento Regeneración Nacional,v,02/12/1963,Pueblos Indígenas,Integrante
400,Antonio Altamirano,Carol,Movimiento Regeneración Nacional,v,13/12/1963,Energía,Integrante
400,Antonio Altamirano,Carol,Movimiento Regeneración Nacional,v,13/12/1963,Vigilancia de la Auditoría Superior de la Federación,Integrante
31,Romero León,Gloria,Partido Acción Nacional,f,25/01/1964,Transparencia y Anticorrupción,Integrante
31,Romero León,Gloria,Partido Acción Nacional,f,25/01/1964,Vigilancia de la Auditoría Superior de la Federación,Integrante
423,Alegre Salazar,Luis Javier,Movimiento Regeneración Nacional,v,04/02/1964,Comunicaciones y Transportes,Integrante
423,Alegre Salazar,Luis Javier,Movimiento Regeneración Nacional,v,04/02/1964,Radio y Televisión,Integrante
446,Bautista Villegas,Óscar,Partido Verde Ecologista de México,v,06/02/1964,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
446,Bautista Villegas,Óscar,Partido Verde Ecologista de México,v,06/02/1964,Energía,Integrante
322,De la Peña Marshall,Ricardo,Partido Encuentro Social,v,17/02/1964,Derechos Humanos,Integrante
322,De la Peña Marshall,Ricardo,Partido Encuentro Social,v,17/02/1964,Energía,Integrante
614,Hernández Deras,Ismael Alfredo,Partido Revolucionario Institucional,v,20/02/1964,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
614,Hernández Deras,Ismael Alfredo,Partido Revolucionario Institucional,v,20/02/1964,Presupuesto y Cuenta Pública,Integrante
600,Guerrero Barrera,Yolanda,Movimiento Regeneración Nacional,f,21/02/1964,Comunicaciones y Transportes,Integrante
600,Guerrero Barrera,Yolanda,Movimiento Regeneración Nacional,f,21/02/1964,"Economía, Comercio y Competitividad",Integrante
348,Delsol Estrada,José Ricardo,Movimiento Regeneración Nacional,v,29/03/1964,"Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales",Integrante
348,Delsol Estrada,José Ricardo,Movimiento Regeneración Nacional,v,29/03/1964,Vigilancia de la Auditoría Superior de la Federación,Integrante
267,Villavicencio Ayala,Silvia Lorena,Movimiento Regeneración Nacional,f,12/06/1964,Cultura y Cinematografía,Integrante
267,Villavicencio Ayala,Silvia Lorena,Movimiento Regeneración Nacional,f,12/06/1964,Derechos Humanos,Integrante
267,Villavicencio Ayala,Silvia Lorena,Movimiento Regeneración Nacional,f,12/06/1964,Justicia,Integrante
114,Pani Barragán,Alejandra,Movimiento Regeneración Nacional,f,17/07/1964,Cultura y Cinematografía,Integrante
114,Pani Barragán,Alejandra,Movimiento Regeneración Nacional,f,17/07/1964,Hacienda y Crédito Público,Integrante
320,Clouthier Carrillo,Tatiana,Movimiento Regeneración Nacional,f,12/08/1964,Gobernación y Población,Integrante
320,Clouthier Carrillo,Tatiana,Movimiento Regeneración Nacional,f,12/08/1964,Vigilancia de la Auditoría Superior de la Federación,Integrante
580,González Yáñez,Óscar,Partido del Trabajo,v,06/10/1964,Presupuesto y Cuenta Pública,Integrante
533,Merlín García,María del Rosario,Movimiento Regeneración Nacional,f,01/11/1964,Comunicaciones y Transportes,Integrante
533,Merlín García,María del Rosario,Movimiento Regeneración Nacional,f,01/11/1964,Energía,Integrante
270,Villegas Guarneros,Dulce María Corina,Movimiento Regeneración Nacional,f,04/12/1964,Deporte,Integrante
270,Villegas Guarneros,Dulce María Corina,Movimiento Regeneración Nacional,f,04/12/1964,Turismo,Integrante
333,Carranza Aréas,Julio,Movimiento Regeneración Nacional,v,14/03/1965,"Ciencia, Tecnología e Innovación",Integrante
333,Carranza Aréas,Julio,Movimiento Regeneración Nacional,v,14/03/1965,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
350,Flores Olivo,Lucía,Movimiento Regeneración Nacional,f,09/04/1965,Comunicaciones y Transportes,Integrante
350,Flores Olivo,Lucía,Movimiento Regeneración Nacional,f,09/04/1965,Seguridad Social,Integrante
422,Alcántara Núñez,Jesús Sergio,Partido Verde Ecologista de México,v,21/06/1965,Comunicaciones y Transportes,Integrante
422,Alcántara Núñez,Jesús Sergio,Partido Verde Ecologista de México,v,21/06/1965,Presupuesto y Cuenta Pública,Integrante
51,Valencia Cruz,Rosalba,Movimiento Regeneración Nacional,f,25/07/1965,Puntos Constitucionales,Integrante
431,Blas López,Víctor,Movimiento Regeneración Nacional,v,09/08/1965,Protección Civil y Prevención de Desastres,Integrante
499,López Rodríguez,Abelina,Movimiento Regeneración Nacional,f,23/09/1965,Defensa Nacional,Integrante
499,López Rodríguez,Abelina,Movimiento Regeneración Nacional,f,23/09/1965,Presupuesto y Cuenta Pública,Integrante
340,Cheja Alfaro,Jacobo David,Movimiento Ciudadano,v,08/10/1965,Marina,Integrante
340,Cheja Alfaro,Jacobo David,Movimiento Ciudadano,v,08/10/1965,Protección Civil y Prevención de Desastres,Integrante
9,Salinas Narváez,Javier,Movimiento Regeneración Nacional,v,22/11/1965,Hacienda y Crédito Público,Integrante
563,García García,Margarita,Partido del Trabajo,f,26/01/1966,Pueblos Indígenas,Integrante
